,Año,Trimestre,Provincia,Banda ancha fija,Dial up,Total
288,2019,3,Buenos Aires,3.950.114,10.119,3.960.233
289,2019,3,Capital Federal,1.437.734,3.477,1.441.211
290,2019,3,Catamarca,32.391,9,32.400
291,2019,3,Chaco,114.438,13,114.451
292,2019,3,Chubut,87.481,1.524,89.005
293,2019,3,Córdoba,782.946,107,783.053
294,2019,3,Corrientes,112.749,10,112.759
295,2019,3,Entre Ríos,238.057,45,238.102
296,2019,3,Formosa,46.066,- 0,46.066
297,2019,3,Jujuy,86.575,1,86.576
298,2019,3,La Pampa,90.559,269,90.828
299,2019,3,La Rioja,49.659,18,49.677
300,2019,3,Mendoza,223.015,1.322,224.337
301,2019,3,Misiones,133.883,- 0,133.883
302,2019,3,Neuquén,123.435,1.986,125.421
303,2019,3,Río Negro,143.391,904,144.295
304,2019,3,Salta,151.834,1,151.835
305,2019,3,San Juan,72.535,563,73.098
306,2019,3,San Luis,122.409,291,122.700
307,2019,3,Santa Cruz,37.642,328,37.970
308,2019,3,Santa Fe,760.706,228,760.934
309,2019,3,Santiago Del Estero,133.130,2,133.132
310,2019,3,Tierra Del Fuego,48.043,544,48.587
311,2019,3,Tucumán,164.099,32,164.131
312,2019,2,Buenos Aires,3.845.594,10.104,3.855.698
313,2019,2,Capital Federal,1.412.177,3.443,1.415.620
314,2019,2,Catamarca,33.626,9,33.635
315,2019,2,Chaco,108.721,13,108.734
316,2019,2,Chubut,86.038,1.518,87.556
317,2019,2,Córdoba,775.023,105,775.128
318,2019,2,Corrientes,111.539,10,111.549
319,2019,2,Entre Ríos,235.780,44,235.824
320,2019,2,Formosa,46.438,- 0,46.438
321,2019,2,Jujuy,86.706,1,86.707
322,2019,2,La Pampa,89.937,268,90.205
323,2019,2,La Rioja,50.283,18,50.301
324,2019,2,Mendoza,222.535,1.322,223.857
325,2019,2,Misiones,132.878,- 0,132.878
326,2019,2,Neuquén,120.954,1.999,122.953
327,2019,2,Río Negro,137.632,915,138.547
328,2019,2,Salta,142.567,1,142.568
329,2019,2,San Juan,69.461,564,70.025
330,2019,2,San Luis,117.094,291,117.385
331,2019,2,Santa Cruz,30.225,325,30.550
332,2019,2,Santa Fe,743.258,226,743.484
333,2019,2,Santiago Del Estero,126.752,2,126.754
334,2019,2,Tierra Del Fuego,46.910,544,47.454
335,2019,2,Tucumán,166.299,32,166.331
336,2019,1,Buenos Aires,3.736.563,10.104,3.746.667
337,2019,1,Capital Federal,1.396.157,3.443,1.399.600
338,2019,1,Catamarca,33.613,9,33.622
339,2019,1,Chaco,103.664,13,103.677
340,2019,1,Chubut,78.260,1.518,79.778
341,2019,1,Córdoba,744.010,105,744.115
342,2019,1,Corrientes,102.477,10,102.487
343,2019,1,Entre Ríos,232.403,44,232.447
344,2019,1,Formosa,45.211,- 0,45.211
345,2019,1,Jujuy,90.146,1,90.147
346,2019,1,La Pampa,88.892,268,89.160
347,2019,1,La Rioja,51.638,18,51.656
348,2019,1,Mendoza,204.976,1.322,206.298
349,2019,1,Misiones,122.720,- 0,122.720
350,2019,1,Neuquén,112.321,2.056,114.377
351,2019,1,Río Negro,120.173,915,121.088
352,2019,1,Salta,136.019,1,136.020
353,2019,1,San Juan,61.881,564,62.445
354,2019,1,San Luis,96.044,291,96.335
355,2019,1,Santa Cruz,24.580,325,24.905
356,2019,1,Santa Fe,736.851,227,737.078
357,2019,1,Santiago Del Estero,89.851,2,89.853
358,2019,1,Tierra Del Fuego,45.903,544,46.447
359,2019,1,Tucumán,171.970,32,172.002
360,2018,4,Buenos Aires,3.626.502,10.104,3.636.606
361,2018,4,Capital Federal,1.385.577,3.443,1.389.020
362,2018,4,Catamarca,33.574,9,33.583
363,2018,4,Chaco,103.257,13,103.270
364,2018,4,Chubut,77.204,1.518,78.722
365,2018,4,Córdoba,737.234,105,737.339
366,2018,4,Corrientes,100.591,10,100.601
367,2018,4,Entre Ríos,222.003,44,222.047
368,2018,4,Formosa,45.204,- 0,45.204
369,2018,4,Jujuy,90.132,1,90.133
370,2018,4,La Pampa,85.368,268,85.636
371,2018,4,La Rioja,51.633,18,51.651
372,2018,4,Mendoza,204.982,1.322,206.304
373,2018,4,Misiones,116.273,- 0,116.273
374,2018,4,Neuquén,112.309,2.056,114.365
375,2018,4,Río Negro,115.922,915,116.837
376,2018,4,Salta,134.577,1,134.578
377,2018,4,San Juan,61.834,564,62.398
378,2018,4,San Luis,96.040,291,96.331
379,2018,4,Santa Cruz,24.443,325,24.768
380,2018,4,Santa Fe,720.161,229,720.390
381,2018,4,Santiago Del Estero,89.333,2,89.335
382,2018,4,Tierra Del Fuego,45.716,544,46.260
383,2018,4,Tucumán,171.972,32,172.004
384,2018,3,Buenos Aires,3.599.714,10.563,3.610.277
385,2018,3,Capital Federal,1.385.804,6.686,1.392.490
386,2018,3,Catamarca,34.215,11,34.226
387,2018,3,Chaco,102.021,12,102.033
388,2018,3,Chubut,101.310,2.426,103.736
389,2018,3,Córdoba,725.764,94,725.858
390,2018,3,Corrientes,99.445,11,99.456
391,2018,3,Entre Ríos,204.560,48,204.608
392,2018,3,Formosa,44.865,- 0,44.865
393,2018,3,Jujuy,44.934,1,44.935
394,2018,3,La Pampa,83.180,244,83.424
395,2018,3,La Rioja,51.855,17,51.872
396,2018,3,Mendoza,205.545,1.484,207.029
397,2018,3,Misiones,108.042,- 0,108.042
398,2018,3,Neuquén,114.713,2.005,116.718
399,2018,3,Río Negro,112.433,1.059,113.492
400,2018,3,Salta,132.882,1,132.883
401,2018,3,San Juan,63.823,658,64.481
402,2018,3,San Luis,74.121,300,74.421
403,2018,3,Santa Cruz,33.565,434,33.999
404,2018,3,Santa Fe,694.883,217,695.100
405,2018,3,Santiago Del Estero,86.358,2,86.360
406,2018,3,Tierra Del Fuego,45.056,508,45.564
407,2018,3,Tucumán,171.135,31,171.166
408,2018,2,Buenos Aires,3.490.134,10.565,3.500.699
409,2018,2,Capital Federal,1.362.498,6.688,1.369.186
410,2018,2,Catamarca,34.078,11,34.089
411,2018,2,Chaco,98.509,12,98.521
412,2018,2,Chubut,98.137,2.427,100.564
413,2018,2,Córdoba,712.979,94,713.073
414,2018,2,Corrientes,97.946,11,97.957
415,2018,2,Entre Ríos,199.937,48,199.985
416,2018,2,Formosa,44.554,,44.554
417,2018,2,Jujuy,45.132,1,45.133
418,2018,2,La Pampa,82.177,244,82.421
419,2018,2,La Rioja,51.931,17,51.948
420,2018,2,Mendoza,199.468,1.484,200.952
421,2018,2,Misiones,106.147,,106.147
422,2018,2,Neuquén,113.842,2.006,115.848
423,2018,2,Río Negro,111.176,1.059,112.235
424,2018,2,Salta,134.166,1,134.167
425,2018,2,San Juan,63.443,658,64.101
426,2018,2,San Luis,21.168,300,21.468
427,2018,2,Santa Cruz,33.970,435,34.405
428,2018,2,Santa Fe,684.243,309,684.552
429,2018,2,Santiago Del Estero,83.773,2,83.775
430,2018,2,Tierra Del Fuego,44.199,508,44.707
431,2018,2,Tucumán,169.926,31,169.957
432,2018,1,Buenos Aires,3.464.882,10.564,3.475.446
433,2018,1,Capital Federal,1.359.882,6.688,1.366.570
434,2018,1,Catamarca,33.934,11,33.945
435,2018,1,Chaco,96.925,12,96.937
436,2018,1,Chubut,95.532,2.427,97.959
437,2018,1,Córdoba,713.825,101,713.926
438,2018,1,Corrientes,94.406,11,94.417
439,2018,1,Entre Ríos,197.346,48,197.394
440,2018,1,Formosa,32.328,- 0,32.328
441,2018,1,Jujuy,44.405,1,44.406
442,2018,1,La Pampa,82.668,396,83.064
443,2018,1,La Rioja,52.228,17,52.245
444,2018,1,Mendoza,199.463,1.484,200.947
445,2018,1,Misiones,103.580,- 0,103.580
446,2018,1,Neuquén,115.897,2.006,117.903
447,2018,1,Río Negro,110.057,1.062,111.119
448,2018,1,Salta,133.182,1,133.183
449,2018,1,San Juan,62.610,658,63.268
450,2018,1,San Luis,21.096,300,21.396
451,2018,1,Santa Cruz,33.970,435,34.405
452,2018,1,Santa Fe,679.717,309,680.026
453,2018,1,Santiago Del Estero,82.916,2,82.918
454,2018,1,Tierra Del Fuego,31.106,508,31.614
455,2018,1,Tucumán,168.026,31,168.057
456,2017,4,Buenos Aires,3.171.206,10.690,3.181.896
457,2017,4,Capital Federal,1.575.418,6.906,1.582.324
458,2017,4,Catamarca,29.548,10,29.558
459,2017,4,Chaco,96.603,12,96.615
