,Año,Trimestre,Provincia,Accesos por cada 100 hab,Year_Quarter
382,2018,4,Tierra Del Fuego,28,2018-10-01
383,2018,4,Tucumán,10,2018-10-01
384,2018,3,Buenos Aires,21,2018-07-01
385,2018,3,Capital Federal,45,2018-07-01
386,2018,3,Catamarca,8,2018-07-01
387,2018,3,Chaco,9,2018-07-01
388,2018,3,Chubut,17,2018-07-01
389,2018,3,Córdoba,20,2018-07-01
390,2018,3,Corrientes,9,2018-07-01
391,2018,3,Entre Ríos,15,2018-07-01
392,2018,3,Formosa,8,2018-07-01
393,2018,3,Jujuy,6,2018-07-01
394,2018,3,La Pampa,24,2018-07-01
395,2018,3,La Rioja,14,2018-07-01
396,2018,3,Mendoza,11,2018-07-01
397,2018,3,Misiones,9,2018-07-01
398,2018,3,Neuquén,18,2018-07-01
399,2018,3,Río Negro,16,2018-07-01
400,2018,3,Salta,10,2018-07-01
401,2018,3,San Juan,8,2018-07-01
402,2018,3,San Luis,15,2018-07-01
403,2018,3,Santa Cruz,10,2018-07-01
404,2018,3,Santa Fe,20,2018-07-01
405,2018,3,Santiago Del Estero,9,2018-07-01
406,2018,3,Tierra Del Fuego,28,2018-07-01
407,2018,3,Tucumán,10,2018-07-01
408,2018,2,Buenos Aires,20,2018-04-01
409,2018,2,Capital Federal,45,2018-04-01
410,2018,2,Catamarca,8,2018-04-01
411,2018,2,Chaco,8,2018-04-01
412,2018,2,Chubut,17,2018-04-01
413,2018,2,Córdoba,19,2018-04-01
414,2018,2,Corrientes,9,2018-04-01
415,2018,2,Entre Ríos,15,2018-04-01
416,2018,2,Formosa,7,2018-04-01
417,2018,2,Jujuy,6,2018-04-01
418,2018,2,La Pampa,23,2018-04-01
419,2018,2,La Rioja,14,2018-04-01
420,2018,2,Mendoza,10,2018-04-01
421,2018,2,Misiones,9,2018-04-01
422,2018,2,Neuquén,18,2018-04-01
423,2018,2,Río Negro,15,2018-04-01
424,2018,2,Salta,10,2018-04-01
425,2018,2,San Juan,8,2018-04-01
426,2018,2,San Luis,4,2018-04-01
427,2018,2,Santa Cruz,10,2018-04-01
428,2018,2,Santa Fe,20,2018-04-01
429,2018,2,Santiago Del Estero,9,2018-04-01
430,2018,2,Tierra Del Fuego,27,2018-04-01
431,2018,2,Tucumán,10,2018-04-01
432,2018,1,Buenos Aires,20,2018-01-01
433,2018,1,Capital Federal,45,2018-01-01
434,2018,1,Catamarca,8,2018-01-01
435,2018,1,Chaco,8,2018-01-01
436,2018,1,Chubut,16,2018-01-01
437,2018,1,Córdoba,19,2018-01-01
